|¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯|
X185PC weights:
(CF: 23066[0] - FG: 5006D): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 27.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 21093750000.00 

(CF: 22934[0] - FG: SG11028): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 30.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 150000000000000.00 

(CF: 22934[0] - FG: SG11004): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 30.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 150000000000000.00 

(CF: 22828[0] - FG: 6165291A): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 45.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 225000000000000.00 

(CF: 22829[0] - FG: 6175283A): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 43.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 215000000000000.00 

(CF: 23067[0] - FG: 5003D): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 27.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 21093750000.00 

(CF: 22530[0] - FG: SG21712): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 34.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 170000000000000.00 

(CF: 22933[0] - FG: SG23006): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 31.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 155000000000000.00 

(CF: 22527[0] - FG: SG21106): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 32.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 160000000000000.00 

(CF: 22804[0] - FG: JKCHSPEG310): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 30.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 150000000000000.00 

(CF: 22907[0] - FG: SG16304): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 32.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 160000000000000.00 

(CF: 22982[0] - FG: SG13028): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 40.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 200000000000000.00 

(CF: 22992[0] - FG: SG16024): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 40.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 200000000000000.00 

(CF: 22525[0] - FG: SG21203): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 31.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 155000000000000.00 

(CF: 23044[0] - FG: 803543): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 50.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 39062500000.00 

(CF: 22886[0] - FG: SG18524): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 37.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 185000000000000.00 

(CF: 22885[0] - FG: SG15004): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 38.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 190000000000000.00 

(CF: 22525[0] - FG: SG21212): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 31.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 155000000000000.00 

(CF: 22275[0] - FG: 85514): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 26.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 130000000000000.00 

(CF: 22292[1] - FG: 109129): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 26.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 130000000000000.00 

(CF: 22214[0] - FG: 6175875): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 47.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 235000000000000.00 

(CF: 22793[0] - FG: 3023215): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 29.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 145000000000000.00 

(CF: 22993[0] - FG: SG17004): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 33.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 165000000000000.00 

(CF: 23089[0] - FG: 5286980E): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 26.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 130000000000000.00 

(CF: 23067[0] - FG: 5001D): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 27.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 21093750000.00 

(CF: 22429[0] - FG: 3002338B): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 47.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 235000000000000.00 

(CF: 22996[0] - FG: 6165816A): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 43.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 215000000000000.00 

(CF: 22981[0] - FG: SG12624): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 33.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 165000000000000.00 

(CF: 22275[0] - FG: 85502): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 26.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 130000000000000.00 

(CF: 22886[0] - FG: SG18504): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 37.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 185000000000000.00 

(CF: 22831[0] - FG: 6175286A): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 47.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 235000000000000.00 

(CF: 22935[0] - FG: SG12324): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 33.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 165000000000000.00 

(CF: 22531[0] - FG: SG21812): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 30.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 150000000000000.00 

(CF: 22441[0] - FG: SG21006): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 37.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 185000000000000.00 

(CF: 22885[0] - FG: SG15044): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 38.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 190000000000000.00 

(CF: 23067[0] - FG: 5002D): initial 10.00, in plant 1.00, location 1.00, neighbours 25.00, due date 27.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 312.50, block extrusion 1000.00, total 21093750000.00 

(CF: 22520[0] - FG: SG15111): initial 1000.00, in plant 1.00, location 1.00, neighbours 100.00, due date 34.00, change over 1.00, space 10.00, family 1.00, customer 1.00, product 1.00, closer_to_pack 5000.00, block extrusion 1000.00, total 170000000000000.00 

